"","X4","X5"
"1","Pos","Height"
"2","D","1.98"
"3","D","1.86"
"4","M","1.77"
"5","M","1.78"
"6","F","1.74"
"7","M","1.70"
"8","M","1.80"
"9","G","1.83"
"10","F","1.85"
"11","D","1.89"
"12","M","1.80"
"13","D","1.79"
"14","M","1.68"
"15","D","1.84"
"16","D","1.82"
"17","F","1.85"
"18","D","1.78"
"19","D","1.92"
"20","M","1.85"
"21","M","1.77"
"22","D","1.83"
"23","G","1.96"
"24","M","1.80"
"25","D","1.80"
"26","F","1.80"
"27","M","1.78"
"28","M","1.75"
"29","F","1.78"
"30","G","1.96"
"31","G","1.95"
"32","G","1.91"
"33","G","1.98"
"34","M","1.75"
"35","F","1.75"
"36","D","1.76"
"37","G","1.90"
"38","M","1.85"
"39","M","1.79"
"40","M","1.82"
"41","Players no longer at this club","Players no longer at this club"
"42","Pos","Height"
"43","D","1.85"
"44","D","1.85"
"45","D","1.75"
"46","D","1.79"
"47","M","1.80"
"48","F","1.78"
"49","F","1.80"
"50","F","1.76"
"51","M","1.78"
"52","D","1.73"
"53","F","1.76"
"54","F","1.69"
"55","M","1.85"
"56","D","1.77"
"57","F","1.92"
"58","M","1.83"
"59","F","1.83"
"60","M","1.89"
"61","D","1.75"
