"","X4","X5"
"1","Pos","Height"
"2","G","1.93"
"3","D","1.83"
"4","D","1.85"
"5","M","1.83"
"6","D","1.80"
"7","M","1.78"
"8","M","1.80"
"9","M","1.76"
"10","D","1.78"
"11","F","1.80"
"12","D","1.78"
"13","D","1.80"
"14","M","1.75"
"15","F","1.80"
"16","F","1.71"
"17","M","1.83"
"18","M","1.70"
"19","M","1.63"
"20","D","1.91"
"21","G","1.99"
"22","D","1.73"
"23","F","1.84"
"24","G","1.88"
"25","M","1.76"
"26","M","1.78"
"27","D","1.85"
"28","G","1.96"
"29","D","1.78"
"30","M","1.79"
"31","G","1.86"
"32","D","1.78"
"33","G","1.91"
"34","Players no longer at this club","Players no longer at this club"
"35","Pos","Height"
"36","F","1.91"
"37","M","1.65"
"38","F","1.80"
"39","F","1.77"
"40","F","1.68"
"41","G","1.85"
"42","G","1.88"
"43","F","1.93"
"44","M","1.78"
"45","D","1.78"
"46","D","1.89"
"47","M","1.75"
"48","F","1.83"
