"","X4","X5"
"1","Pos","Height"
"2","G","1.88"
"3","D","1.80"
"4","D","1.75"
"5","M","1.85"
"6","D","1.85"
"7","D","1.80"
"8","M","1.75"
"9","M","1.83"
"10","F","1.86"
"11","F","1.86"
"12","F","1.91"
"13","M","1.75"
"14","M","1.85"
"15","M","1.73"
"16","M","1.86"
"17","M","1.70"
"18","F","1.83"
"19","F","1.70"
"20","G","1.93"
"21","D","1.84"
"22","M","1.65"
"23","D","1.80"
"24","D","1.88"
"25","G","1.91"
"26","G","1.83"
"27","M","1.83"
"28","M","1.78"
"29","M","1.78"
"30","Players no longer at this club","Players no longer at this club"
"31","Pos","Height"
"32","F","1.69"
"33","F","1.83"
"34","D","1.93"
"35","M","1.83"
