"","X4","X5"
"1","Pos","Height"
"2","G","1.86"
"3","D","1.88"
"4","D","1.75"
"5","M","1.83"
"6","D","1.92"
"7","D","1.95"
"8","M","1.69"
"9","M","1.89"
"10","M","1.81"
"11","F","1.80"
"12","D","1.87"
"13","G","1.97"
"14","F","1.82"
"15","D","1.78"
"16","F","1.90"
"17","M","1.78"
"18","F","1.89"
"19","G","1.96"
"20","F","1.85"
"21","M","1.84"
"22","D","1.78"
"23","M","1.83"
"24","D","1.83"
"25","G","1.90"
"26","D","1.85"
"27","D","1.94"
"28","D","1.91"
"29","D","1.85"
"30","D","1.98"
"31","M","1.86"
"32","Players no longer at this club","Players no longer at this club"
"33","Pos","Height"
"34","M","1.68"
"35","M","1.73"
"36","F","1.94"
"37","M","1.73"
"38","F","1.82"
"39","G","1.92"
