"","X","Position","M_median","D_median","G_median","F_median","Shots","ShotsOnTarget","Falls","Corners"
"1","Man City",3,174,183,191.5,173,633,217,395,280
"2","Liverpool",4,175,186,192,191,638,236,397,249
"3","Chelsea",1,177,182,183,189,580,204,394,218
"4","Tottenham",2,178,185,179.5,190,669,257,432,273
"5","Arsenal",5,180,185.5,184.5,180,565,200,397,227
"6","Man United",6,177.5,181,195,181,589,210,497,217
"7","Everton",7,180,182,183,180.5,498,192,459,196
"8","Leicester",12,178,183,190.5,178,432,145,451,197
"9","West Ham",11,177.5,185,191,190,496,138,408,172
"10","Watford",17,180.5,189,183,194,419,144,517,164
"11","Crystal Palace",14,181,180,180,192,438,138,469,202
"12","Bournemouth",9,178,187,183,191,446,160,366,191
"13","Burnley",16,178,188,180,189.5,390,120,426,149
"14","Southampton",8,179,186.5,185,193,548,179,424,200
"15","Man City",1,174,183,191.5,173,664,261,344,284
"16","Liverpool",4,175,186,192,191,640,233,344,230
"17","Chelsea",5,177,182,183,189,606,220,363,230
"18","Tottenham",3,178,185,179.5,190,622,217,384,246
"19","Arsenal",6,180,185.5,184.5,180,593,234,383,225
"20","Man United",2,177.5,181,195,181,513,181,404,220
"21","Everton",8,180,182,183,180.5,360,122,459,150
"22","Leicester",9,178,183,190.5,178,422,148,365,203
"23","West Ham",13,177.5,185,191,190,373,133,379,161
"24","Watford",14,180.5,189,183,194,440,132,441,184
"25","Crystal Palace",11,181,180,180,192,475,151,425,209
"26","Bournemouth",12,178,187,183,191,467,158,339,218
"27","Burnley",7,178,188,180,189.5,379,127,350,167
"28","Southampton",17,179,186.5,185,193,451,145,416,227
"29","Man City",1,174,187,184,191,683,260,328,287
"30","Liverpool",2,175,183,183,188.5,574,226,315,249
"31","Chelsea",3,177,181,190,181,606,198,339,215
"32","Tottenham",4,178,186,181,189.5,536,189,375,194
"33","Arsenal",5,180,182,195,180,466,170,412,212
"34","Man United",6,177.5,182.5,191.5,180.5,526,225,433,200
"35","Everton",8,180,183,188.5,181,495,169,432,215
"36","Leicester",9,178,185,179.5,193,515,184,351,210
"37","West Ham",10,177.5,180,180,188.5,441,157,331,187
"38","Watford",11,180.5,187,180,190,434,151,433,177
"39","Crystal Palace",12,181,185,187,177.5,491,146,386,205
"40","Bournemouth",14,178,187,183.5,187,447,163,339,191
"41","Burnley",15,178,183.5,185,189.5,359,115,359,140
"42","Southampton",16,179,187,182,195,480,162,420,193
