"","X","Position","cum_HS","cum_AS","cum_HST","cum_AST","cum_HF","cum_AF","cum_HC","cum_AC","M_median","D_median","G_median","F_median"
"1","Man City",3,336,297,115,102,188,207,151,129,174,183,191.5,173
"2","Liverpool",4,331,307,127,109,194,203,116,133,175,186,192,191
"3","Chelsea",1,316,264,121,83,185,209,129,89,177,182,183,189
"4","Tottenham",2,373,296,147,110,209,223,148,125,178,185,179.5,190
"5","Arsenal",5,329,236,114,86,200,197,132,95,180,185.5,184.5,180
"6","Man United",6,337,252,118,92,249,248,139,78,177.5,181,195,181
"7","Everton",7,277,221,112,80,215,244,120,76,180,182,183,180.5
"8","Leicester",12,240,192,83,62,201,250,110,87,178,183,190.5,178
"9","West Ham",11,270,226,66,72,192,216,90,82,177.5,185,191,190
"10","Watford",17,231,188,77,67,273,244,82,82,180.5,189,183,194
"11","Crystal Palace",14,224,214,74,64,230,239,102,100,181,180,180,192
"12","Bournemouth",9,253,193,91,69,173,193,98,93,178,187,183,191
"13","Burnley",16,210,180,64,56,208,218,79,70,178,188,180,189.5
"14","Southampton",8,299,249,92,87,206,218,108,92,179,186.5,185,193
"15","Man City",1,347,317,151,110,169,175,138,146,174,183,191.5,173
"16","Liverpool",4,359,281,135,98,166,178,134,96,175,186,192,191
"17","Chelsea",5,356,250,132,88,183,180,148,82,177,182,183,189
"18","Tottenham",3,353,269,120,97,177,207,143,103,178,185,179.5,190
"19","Arsenal",6,343,250,147,87,186,197,132,93,180,185.5,184.5,180
"20","Man United",2,275,238,93,88,204,200,117,103,177.5,181,195,181
"21","Everton",8,189,171,60,62,234,225,81,69,180,182,183,180.5
"22","Leicester",9,227,195,75,73,180,185,112,91,178,183,190.5,178
"23","West Ham",13,211,162,64,69,193,186,93,68,177.5,185,191,190
"24","Watford",14,236,204,70,62,224,217,96,88,180.5,189,183,194
"25","Crystal Palace",11,267,208,91,60,215,210,104,105,181,180,180,192
"26","Bournemouth",12,267,200,82,76,165,174,115,103,178,187,183,191
"27","Burnley",7,207,172,66,61,167,183,94,73,178,188,180,189.5
"28","Southampton",17,252,199,77,68,190,226,125,102,179,186.5,185,193
"29","Man City",1,386,297,148,112,162,166,143,144,174,187,184,191
"30","Liverpool",2,335,239,126,100,149,166,133,116,175,183,183,188.5
"31","Chelsea",3,325,281,118,80,154,185,120,95,177,181,190,181
"32","Tottenham",4,308,228,105,84,174,201,102,92,178,186,181,189.5
"33","Arsenal",5,256,210,96,74,218,194,128,84,180,182,195,180
"34","Man United",6,284,242,126,99,213,220,116,84,177.5,182.5,191.5,180.5
"35","Everton",8,279,216,85,84,218,214,119,96,180,183,188.5,181
"36","Leicester",9,298,217,99,85,184,167,108,102,178,185,179.5,193
"37","West Ham",10,245,196,88,69,165,166,108,79,177.5,180,180,188.5
"38","Watford",11,224,210,83,68,221,212,91,86,180.5,187,180,190
"39","Crystal Palace",12,294,197,76,70,180,206,130,75,181,185,187,177.5
"40","Bournemouth",14,229,218,82,81,187,152,96,95,178,187,183.5,187
"41","Burnley",15,210,149,66,49,184,175,80,60,178,183.5,185,189.5
"42","Southampton",16,258,222,89,73,219,201,101,92,179,187,182,195
