"","X4","X5"
"1","Pos","Height"
"2","G","1.85"
"3","D","1.70"
"4","D","1.91"
"5","D","1.90"
"6","D","1.83"
"7","M","1.88"
"8","M","1.86"
"9","F","1.76"
"10","D","1.78"
"11","D","1.93"
"12","F","1.83"
"13","M","1.80"
"14","M","1.74"
"15","M","1.81"
"16","M","1.67"
"17","G","1.97"
"18","D","1.77"
"19","M","1.80"
"20","F","1.76"
"21","F","1.79"
"22","F","1.74"
"23","G","1.90"
"24","D","1.88"
"25","M","1.78"
"26","D","1.83"
"27","M","1.80"
"28","G","1.82"
"29","D","1.76"
"30","F","1.85"
"31","F","1.95"
"32","F","1.85"
"33","G","1.96"
"34","Players no longer at this club","Players no longer at this club"
"35","Pos","Height"
"36","D","1.83"
"37","M","1.78"
"38","M","1.80"
"39","M","1.78"
"40","F","1.72"
"41","D","1.85"
"42","D","1.84"
"43","M","1.75"
"44","F","1.82"
"45","M","1.88"
"46","D","1.85"
"47","M","1.86"
"48","D","1.81"
