"","X4","X5"
"1","Pos","Height"
"2","G","1.85"
"3","D","1.78"
"4","M","1.78"
"5","D","1.85"
"6","D","1.91"
"7","F","1.76"
"8","F","1.78"
"9","M","1.83"
"10","M","1.74"
"11","G","1.93"
"12","M","1.83"
"13","M","1.79"
"14","D","1.77"
"15","D","1.91"
"16","F","1.88"
"17","F","1.74"
"18","G","1.87"
"19","M","1.79"
"20","F","1.85"
"21","M","1.68"
"22","D","1.87"
"23","M","1.79"
"24","D","1.86"
"25","D","1.86"
"26","D","1.85"
"27","M","1.82"
"28","D","1.90"
"29","D","1.95"
"30","M","1.78"
"31","D","1.88"
"32","M","1.70"
"33","M","1.77"
"34","F","1.75"
"35","D","1.85"
"36","M","1.78"
"37","F","1.77"
"38","D","1.85"
"39","F","1.78"
"40","D","1.83"
"41","M","1.78"
"42","D","1.73"
"43","Players no longer at this club","Players no longer at this club"
"44","Pos","Height"
"45","M","1.78"
"46","M","1.74"
"47","D","1.82"
"48","M","1.78"
"49","D","1.80"
