"","X4","X5"
"1","Pos","Height"
"2","G","1.89"
"3","D","1.75"
"4","M","1.75"
"5","D","1.88"
"6","M","1.75"
"7","M","1.71"
"8","F","1.81"
"9","D","1.88"
"10","G","1.89"
"11","M","1.82"
"12","F","1.88"
"13","M","1.91"
"14","D","1.87"
"15","D","1.71"
"16","M","1.75"
"17","M","1.72"
"18","M","1.79"
"19","G","1.93"
"20","M","1.84"
"21","F","1.85"
"22","F","1.78"
"23","D","1.95"
"24","M","1.81"
"25","D","1.83"
"26","M","1.83"
"27","F","1.77"
"28","M","1.73"
"29","D","1.80"
"30","F","1.76"
"31","F","1.74"
"32","M","1.73"
"33","M","1.76"
"34","D","1.75"
"35","G","1.90"
"36","Players no longer at this club","Players no longer at this club"
"37","Pos","Height"
"38","F","1.90"
"39","F","1.89"
"40","D","1.86"
"41","M","1.78"
"42","D","1.90"
"43","D","1.79"
"44","M","1.75"
"45","M","1.80"
"46","D","1.87"
"47","M","1.72"
