"","X4","X5"
"1","Pos","Height"
"2","G","1.84"
"3","D","1.76"
"4","D","1.93"
"5","D","1.76"
"6","M","1.83"
"7","M","1.70"
"8","M","1.80"
"9","F","1.75"
"10","F","1.73"
"11","D","1.87"
"12","G","1.86"
"13","M","1.70"
"14","M","1.81"
"15","M","1.74"
"16","M","1.83"
"17","M","1.73"
"18","D","1.76"
"19","D","1.88"
"20","M","1.79"
"21","D","1.83"
"22","F","1.75"
"23","M","1.88"
"24","F","1.80"
"25","D","1.96"
"26","G","1.96"
"27","M","1.70"
"28","M","1.70"
"29","D","1.85"
"30","G","1.90"
"31","M","1.85"
"32","F","1.85"
"33","M","1.73"
"34","F","1.78"
"35","M","1.78"
"36","F","1.87"
"37","D","1.81"
"38","M","1.73"
"39","M","1.70"
"40","D","1.87"
"41","M","1.87"
"42","M","1.71"
"43","D","1.80"
"44","M","1.77"
"45","M","1.85"
"46","D","1.81"
"47","M","1.75"
"48","Players no longer at this club","Players no longer at this club"
"49","Pos","Height"
"50","M","1.77"
"51","D","1.77"
"52","M","1.75"
"53","M","1.62"
"54","M","1.75"
"55","G","1.96"
"56","M","1.77"
"57","F","1.82"
"58","D","1.87"
"59","D","1.84"
"60","D","1.77"
"61","M","1.82"
"62","D","1.73"
"63","G","1.92"
"64","M","1.78"
"65","M","1.78"
"66","G","1.86"
"67","M","1.76"
"68","F","1.83"
"69","F","1.85"
"70","D","1.76"
