"","X4","X5"
"1","Pos","Height"
"2","G","1.92"
"3","D","1.87"
"4","D","1.87"
"5","D","1.80"
"6","M","1.91"
"7","F","1.69"
"8","M","1.70"
"9","F","1.90"
"10","F","1.80"
"11","F","1.81"
"12","D","1.94"
"13","G","1.93"
"14","M","1.75"
"15","M","1.77"
"16","D","1.87"
"17","M","1.69"
"18","M","1.75"
"19","D","1.84"
"20","M","1.82"
"21","G","1.92"
"22","D","1.85"
"23","M","1.80"
"24","M","1.94"
"25","D","1.82"
"26","M","1.78"
"27","F","1.85"
"28","Players no longer at this club","Players no longer at this club"
"29","Pos","Height"
"30","D","1.82"
"31","D","1.90"
"32","G","1.91"
"33","M","1.72"
"34","M","1.94"
"35","G","1.88"
