"","X4","X5"
"1","Pos","Height"
"2","D","1.72"
"3","D","1.89"
"4","D","1.85"
"5","D","1.88"
"6","F","1.78"
"7","M","1.73"
"8","F","1.90"
"9","F","1.88"
"10","M","1.81"
"11","G","1.93"
"12","M","1.83"
"13","M","1.73"
"14","M","1.84"
"15","M","1.70"
"16","F","1.81"
"17","D","1.79"
"18","M","1.73"
"19","M","1.85"
"20","M","1.73"
"21","G","1.98"
"22","D","1.74"
"23","M","1.80"
"24","D","1.89"
"25","M","1.81"
"26","M","1.74"
"27","M","1.68"
"28","G","2.01"
"29","F","1.76"
"30","G","1.83"
"31","M","1.75"
"32","Players no longer at this club","Players no longer at this club"
"33","Pos","Height"
"34","F","1.93"
"35","M","1.69"
"36","D","1.93"
"37","F","1.85"
"38","D","1.83"
"39","D","1.93"
