"","X4","X5"
"1","Pos","Height"
"2","G","1.88"
"3","D","1.78"
"4","D","1.74"
"5","D","1.87"
"6","D","1.89"
"7","D","1.87"
"8","F","1.83"
"9","F","1.88"
"10","M","1.81"
"11","M","1.84"
"12","G","1.84"
"13","M","1.88"
"14","M","1.87"
"15","F","1.93"
"16","M","1.85"
"17","M","1.88"
"18","D","1.79"
"19","G","1.96"
"20","M","1.82"
"21","D","1.75"
"22","M","1.72"
"23","M","1.76"
"24","D","1.82"
"25","D","1.73"
"26","G","1.90"
"27","D","1.79"
"28","D","1.75"
"29","M","1.78"
"30","D","1.83"
"31","G","1.88"
"32","M","1.74"
"33","D","1.85"
"34","M","1.78"
"35","F","1.75"
"36","M","1.79"
"37","M","1.83"
"38","M","1.78"
"39","M","1.76"
"40","M","1.76"
"41","D","1.84"
"42","G","1.95"
"43","M","1.83"
"44","G","1.96"
"45","D","1.83"
"46","D","1.81"
"47","M","1.75"
"48","G","1.82"
"49","M","1.81"
"50","D","1.81"
"51","Players no longer at this club","Players no longer at this club"
"52","Pos","Height"
"53","M","1.85"
"54","D","1.87"
"55","M","1.68"
"56","F","1.83"
"57","M","1.75"
"58","M","1.76"
"59","D","1.83"
"60","F","1.90"
"61","M","1.79"
"62","M","1.87"
"63","F","1.83"
