"","X4","X5"
"1","Pos","Height"
"2","G","1.97"
"3","D","1.90"
"4","D","1.93"
"5","D","1.96"
"6","D","1.80"
"7","M","1.81"
"8","M","1.75"
"9","F","1.85"
"10","F","1.82"
"11","M","1.85"
"12","G","1.97"
"13","D","1.90"
"14","M","1.84"
"15","M","1.71"
"16","F","1.76"
"17","F","1.84"
"18","D","1.85"
"19","M","1.81"
"20","D","1.85"
"21","D","1.68"
"22","D","1.88"
"23","M","1.90"
"24","G","2.01"
"25","M","1.75"
"26","F","1.86"
"27","G","1.92"
"28","M","1.74"
"29","M","1.82"
"30","D","1.85"
"31","M","1.77"
"32","F","1.83"
"33","D","1.78"
"34","D","1.87"
"35","F","1.82"
"36","G","1.93"
"37","G","1.82"
"38","M","1.80"
"39","Players no longer at this club","Players no longer at this club"
"40","Pos","Height"
"41","M","1.85"
"42","D","1.91"
"43","F","1.80"
"44","D","1.88"
"45","M","1.68"
"46","M","1.75"
"47","F","1.82"
"48","F","1.77"
"49","D","1.74"
"50","M","1.78"
"51","F","1.81"
"52","F","1.88"
"53","F","1.80"
